Pertanyaan,Jawaban_Reference_(Ground Truth),Jawaban_Generated_(Hasil AI),Nilai Precision (P),Nilai Recall (R),Nilai F1-Score
"Untuk pendaftaran peserta didik baru, apa saja pilihan program studi atau jurusan yang saat ini ditawarkan di SMK Negeri 1 Sorong?","Terdapat 9 jurusan yaitu TKJ, AKL, OTKP, BDP, Multimedia, DPIB, BKP, Geomatika, dan Perhotelan.","Halo! Saya asisten PPDB. Terdapat 9 jurusan yang bisa dipilih yaitu TKJ, AKL, OTKP, BDP, Multimedia, DPIB, BKP, Geomatika, dan Perhotelan. Semoga membantu!",0.8738464713096619,0.9500375390052795,0.9103506207466125
"Saya masih kurang paham mengenai tahapannya, tolong berikan panduan lengkap tata cara mendaftar sebagai siswa baru secara online maupun offline.",Pendaftaran dilakukan secara online melalui website resmi atau datang langsung ke sekolah.,"Tentu, berikut informasinya: Untuk mendaftar, proses pendaftaran dilakukan secara online melalui website resmi atau datang langsung ke sekolah. Jika ada pertanyaan lain, silakan tanyakan.",0.9181095361709595,0.9628392457962036,0.9399425387382507
Apakah ada syarat tambahan seperti tes fisik atau tes bebas buta warna jika saya berminat mendaftar di program keahlian Teknik Komputer Jaringan?,"Syarat masuk TKJ antara lain nilai rapot yang cukup, tidak buta warna, dan lulus tes fisik.","Tentu, berikut adalah jawaban: Syarat masuk jurusan TKJ antara lain meliputi nilai rapot yang cukup, tidak buta warna, dan dinyatakan lulus tes fisik.",0.9278649091720581,0.9719763398170471,0.9494084715843201
Kapan jadwal resmi pendaftaran Penerimaan Peserta Didik Baru (PPDB) tahun ajaran ini akan mulai dibuka?,Pendaftaran PPDB biasanya dibuka pada bulan Juni hingga Juli setiap tahunnya.,"Pendaftaran mulai dibuka pada pertengahan tahun, biasanya sekitar bulan Juni.",0.8830386400222778,0.8521537780761719,0.8673213720321655
Mohon informasi mengenai alamat lengkap SMK Negeri 1 Kota Sorong untuk keperluan pengumpulan berkas.,"Alamat sekolah berada di Jalan Jendral Sudirman, Kota Sorong, Papua Barat Daya.","SMKN 1 berlokasi di pusat Kota Sorong, tepatnya di Jl. Jendral Sudirman.",0.82281094789505,0.8026369214057922,0.8125987648963928
"Terkait proses pendaftaran awal di sekolah ini, apakah calon siswa baru diwajibkan untuk membayar sejumlah uang pendaftaran tertentu?",Pendaftaran PPDB di SMKN 1 Sorong tidak dipungut biaya alias gratis.,Halo! Saya asisten PPDB. Proses pendaftaran PPDB di SMKN 1 Sorong tidak dipungut biaya alias gratis.,0.8676592111587524,0.950281023979187,0.9070926308631897
Apakah sekolah ini menerima pendaftaran siswa baru melalui jalur prestasi akademik atau non-akademik?,"Ya, terdapat jalur prestasi akademik dan non-akademik dengan kuota tertentu.",Tentu saja! Ada jalur prestasi akademik dan non-akademik bagi siswa berprestasi.,0.8096699714660645,0.8383615612983704,0.8237660527229309
Kegiatan ekstrakurikuler apa saja yang tersedia di sekolah ini untuk pengembangan minat bakat siswa?,"Terdapat berbagai ekstrakurikuler seperti Pramuka, Paskibra, PMR, Rohis, dan Olahraga.","Di SMKN 1 Sorong ada ekstrakurikuler wajib seperti Pramuka, dan pilihan seperti PMR atau Olahraga.",0.8064765334129333,0.8326107263565063,0.8193353414535522
Berkas dan dokumen penting apa saja yang harus disiapkan oleh calon siswa baru saat melakukan daftar ulang?,"Berkas daftar ulang meliputi fotokopi SKHU, pas foto 3x4, fotokopi KK, dan akta kelahiran.","Anda perlu menyiapkan dokumen seperti SKHU, fotokopi KK, Akta kelahiran dan pas foto ukuran 3x4.",0.8459951281547546,0.8769355416297913,0.8611875176429749
Berapa total kuota penerimaan peserta didik baru yang disediakan oleh SMKN 1 Sorong pada tahun ini?,Kuota penerimaan siswa baru tahun ini adalah sebanyak 360 siswa yang terbagi ke dalam 9 jurusan.,Tahun ini kuota yang tersedia adalah sekitar 360 siswa untuk semua jurusan yang ada.,0.8370115160942078,0.812006950378418,0.8243196606636047
